AARON *Origen:Hebreo;    *Significado:Elevado, alto, montañoso 
RAMIRO *Origen:Germano;    *Significado:Poderoso en la guerra 
RAMONA *Origen:Germano;    *Significado:Protectora sensata 
RAMON *Origen:Germano;    *Significado:Protector sensato 
RAQUEL *Origen:Hebreo;    *Significado:Oveja del Señor 
RAUL *Origen:Francés;    *Significado:Guerrero atrevido 
REBECA *Origen:Hebreo;    *Significado:Lazo corredizo, trampa 
REINA *Origen:Latino;    *Significado:Reina 
REINALDO *Origen:Germano;    *Significado:Juez poderoso 
REGINA *Origen:Latino;    *Significado:Reina 
REMEDIOS *Origen:Latino;    *Significado:Alivio 
RENATO *Origen:Latino;    *Significado:Renacido 
RENE *Origen:Latino;    *Significado:Renacido 
RICARDO *Origen:Germano;    *Significado:Guerrero temerario 
RITA *Origen:Latino;    *Significado:Ceremoniosa 
ROBERTO *Origen:Germano;    *Significado:De fama brillante 
ROCIO *Origen:Latino;    *Significado:Lágrimas de flor 
RODOLFO *Origen:Germano;    *Significado:Lobo de fama 
RODRIGO *Origen:Germano;    *Significado:Rico en fama 
ROGELIO *Origen:Germano;    *Significado:Lanza de fama 
ROLANDO *Origen:Germano;    *Significado:Fama del país 
ROLAN *Origen:Germano;    *Significado:Fama del país 
ROMAN *Origen:Latino;    *Significado:De Rumania 
ROMEO *Origen:Latino;    *Significado:Buen hombre de Roma 
ROMILDA *Origen:Germano;    *Significado:Guerrera famosa 
ROMILDO *Origen:Germano;    *Significado:Guerrero famoso 
RONALDO *Origen:Germano;    *Significado:Gobernante glorioso 
ROQUE *Origen:Persa;    *Significado:Elevado 
ROSA *Origen:Latino;    *Significado:La rosa 
ROSALIA *Origen:Latino;    *Significado:Rosa pequeña 
ROSAMUNDA *Origen:Germano;    *Significado:Guardia famosa 
ROSANA *Origen:Latino;    *Significado:Como una rosa 
ROSARIO *Origen:Latino;    *Significado:Jardín de rosas 
ROSENDO *Origen:Germano;    *Significado:Soldado 
ROXANA *Origen:Persa;    *Significado:La brillante 
RUBEN *Origen:Hebreo;    *Significado:¡He aquí un hijo! 
RUFINO *Origen:Latino;    *Significado:Rojo 
RUPERTO *Origen:Germano;    *Significado:De fama brillante 
RUT *Origen:Hebreo;    *Significado:Amistad, misericordia 
RUTH *Origen:Hebreo;    *Significado:Amistad, misericordia 
SABINA *Origen:Latino;    *Significado:Mujer sabina (El pueblo de Italia) 
SAGRARIO *Origen:Latino;    *Significado:Receptáculo sagrado 
SALOME *Origen:Hebreo;    *Significado:Pacífica 
SALOMON *Origen:Hebreo;    *Significado:Pacífico 
SALVADOR *Origen:Latino;    *Significado:Salvador 
SAMANTA *Origen:Hebreo;    *Significado:Que escucha 
SAMUEL *Origen:Hebreo;    *Significado:Oído por Dios 
SANCHO *Origen:Latino;    *Significado:Santo 
SANDRA *Origen:Germano;    *Significado:Auxiliar de los hombres 
SANSON *Origen:Hebreo;    *Significado:Como el sol 
SANTIAGO *Origen:Latino;    *Significado:Sancti Yago (Del hebreo Jacobo: Suplantador) 
SARA *Origen:Hebreo;    *Significado:Princesa 
SAUL *Origen:Hebreo;    *Significado:Llamado 
SEBASTIAN *Origen:Griego;    *Significado:Venerable, augusto 
SEGISMUNDO *Origen:Germano;    *Significado:Vencedor 
SERAFIN *Origen:Hebreo;    *Significado:Ángel de fuego 
SERENA *Origen:Latino;    *Significado:Tranquila 
SERGIO *Origen:Latino;    *Significado:De Serbia 
SIGFRIDO *Origen:Germano;    *Significado:Conquistador de la paz 
SERVANDO *Origen:Latino;    *Significado:Observa, cumple, guarda 
SHEILA *Origen:Irlandés;    *Significado:Celestial. Antigua adaptación de Celia 
SILVAN *Origen:Latino;    *Significado:Del bosque 
SILVANO *Origen:Latino;    *Significado:Del bosque 
SILVESTRE *Origen:Latino;    *Significado:Rústico 
SILVIO *Origen:Latino;    *Significado:Del bosque 
SILVIA *Origen:Latino;    *Significado:Del bosque 
SIMON *Origen:Hebreo;    *Significado:El que escucha 
SIMEON *Origen:Hebreo;    *Significado:El que escucha 
SIRO *Origen:Persa;    *Significado:Sol 
SIXTO *Origen:Griego;    *Significado:Adulador 
SOCORRO *Origen:Latino;    *Significado:Dispuesta a ayudar 
SOFIA *Origen:Griego;    *Significado:Sabiduría 
SOL *Origen:Latino;    *Significado:Astro rey 
SOLANGE *Origen:Francés;    *Significado:Solemne 
SOLEDAD *Origen:Latino;    *Significado:Sin compañía 
SORAYA *Origen:Persa;    *Significado:Excelente 
SONIA *Origen:Griego;    *Significado:Sabia pensadora 
SUSANA *Origen:Hebreo;    *Significado:Lirio 
SUYAY *Origen:Quechua;    *Significado:Esperar, aguardar 
TADEO *Origen:Hebreo;    *Significado:Oración de gracias 
TAMAR *Origen:Hebreo;    *Significado:Palmera 
TAMARA *Origen:Hebreo;    *Significado:Palmera 
TANIA *Origen:Ruso;    *Significado:Que procede de Tacio, legendario rey de los sabinos 
TATIANA *Origen:Latino;    *Significado:Defensora 
TELMA *Origen:Griego;    *Significado:Favorita, niña mimada 
TEOBALDO *Origen:Germano;    *Significado:Príncipe del pueblo 
TEODORO *Origen:Griego;    *Significado:Don de Dios 
TEODORICO *Origen:Germano;    *Significado:Regla del pueblo 
TEODOSIO *Origen:Griego;    *Significado:Dado divinamente 
TEOFILO *Origen:Griego;    *Significado:Amante de Dios 
TERESA *Origen:Griego;    *Significado:Que lleva espigas de trigo 
TIRSO *Origen:Latino;    *Significado:Rama de vid 
TITO *Origen:Latino;    *Significado:Defensor 
TIMOTEO *Origen:Griego;    *Significado:Que honra a Dios 
TOBIAS *Origen:Hebreo;    *Significado:El Señor es bueno 
TOMAS *Origen:Hebreo;    *Significado:Mellizo, gemelo 
TRINIDAD *Origen:Latino;    *Significado:Tres en uno 
TRISTÁN *Origen:Escocés;    *Significado:Pacto, consuelo 
ULISES *Origen:Griego;    *Significado:Colérico, iracundo 
ULRICO *Origen:Germano;    *Significado:Noble señor 
URBANO *Origen:Latino;    *Significado:Dios del hogar 
URIEL *Origen:Hebreo;    *Significado:Luz de Dios 
URSULA *Origen:Latino;    *Significado:Osa pequeña 
VALENTIN *Origen:Latino;    *Significado:Fuerte, valeroso 
VALERIO *Origen:Latino;    *Significado:Sano 
VALERIA *Origen:Latino;    *Significado:Sana 
VANESA *Origen:Creado;    *Significado:por Jonathan Swift Del personaje Esther Vanhomringh 
VENTURA *Origen:Latino;    *Significado:Afortunado 
VELASCO *Origen:Germano;    *Significado:Cuervo 
VERA *Origen:Latino;    *Significado:Verdadera 
VERONICA *Origen:Latino;    *Significado:Imagen de la verdad 
VICENTE *Origen:Latino;    *Significado:Conquistador 
VICTOR *Origen:Latino;    *Significado:Vencedor 
VICTORIA *Origen:Latino;    *Significado:Vencedora 
VICTORIANO *Origen:Latino;    *Significado:Vencedor 
VIDA *Origen:Latino;    *Significado:Vacía 
VILMA *Origen:Germano;    *Significado:Protectora 
VIOLETA *Origen:Latino;    *Significado:Violeta (Símbolo de modestia) 
VIRGILIO *Origen:Latino;    *Significado:Floreciente 
VIRGINIA *Origen:Latino;    *Significado:Virgen 
VIVIANA *Origen:Latino;    *Significado:Vivaz, animada 
VLADIMIR *Origen:Eslavo;    *Significado:Gloria del príncipe 
WALTER *Origen:Germano;    *Significado:Caudillo del Ejército 
WENCESLAO *Origen:Checo;    *Significado:El más glorioso 
WILFREDO *Origen:Germano;    *Significado:Pacificador decidido  
YAGO *Origen:Hebreo;    *Significado:Suplantador
YERAY *Origen:Canario;    *Significado:Grande 
YOLANDA *Origen:Germano;    *Significado:La más justa 
ZACARIAS *Origen:Hebreo;    *Significado:El Señor ha recordado 
ZENOBIA *Origen:Árabe;    *Significado:Orgullo de su padre 
ZOE *Origen:Griego;    *Significado:Vida 
ZITA *Origen:Toscano;    *Significado:Muchacha alegre 
ZORAIDA *Origen:Árabe;    *Significado:Mujer cautivadora 
ZULEMA *Origen:Hebreo;    *Significado:Amante de la paz
